DUS,DRA,TEB,SLB,GKR,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,DUS
DUS,DRA,SLA,GUD,JSF,GRA,DUS
DUS,DRA,SLB,GUD,JSF,GRA,DUS
DUS,DRA,TEB,GUD,JSF,GRA,DUS
DUS,DRA,SLA,SLB,GUD,JSF,DUS
DUS,DRA,SLA,TEB,GUD,JSF,DUS
DUS,DRA,TEB,SLB,GUD,JSF,DUS
DUS,DRA,SLA,SLB,GUD,GRA,DUS
DUS,DRA,SLA,TEB,GUD,GRA,DUS
DUS,DRA,TEB,SLB,GUD,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,DUS
DUS,DRA,SLA,SLB,JSF,GRA,DUS
DUS,DRA,SLA,TEB,JSF,GRA,DUS
DUS,DRA,TEB,SLB,JSF,GRA,DUS
DUS,DRA,SLA,TEB,SLB,JSF,DUS
DUS,DRA,SLA,TEB,SLB,GRA,DUS
DUS,DSA,GKR,GUD,GRA,HDA,DUS
DUS,DSA,SLA,GKR,GUD,GRA,DUS
DUS,DSA,SLB,GKR,GUD,GRA,DUS
DUS,DSA,TEB,GKR,GUD,GRA,DUS
DUS,SLA,SLB,GKR,GUD,DSA,DUS
DUS,SLA,TEB,GKR,GUD,DSA,DUS
DUS,SLB,TEB,GKR,GUD,DSA,DUS
DUS,DSA,JSF,GKR,SLB,SLA,DUS
DUS,DSA,SLA,SLB,GKR,GRA,DUS
DUS,DSA,SLA,TEB,GKR,GRA,DUS
DUS,DSA,SLB,TEB,GKR,GRA,DUS
DUS,DSA,GKR,TEB,SLB,SLA,DUS
DUS,DSA,JSF,GUD,SLB,SLA,DUS
DUS,DSA,SLA,SLB,GUD,GRA,DUS
DUS,DSA,SLA,TEB,GUD,GRA,DUS
DUS,DSA,SLB,TEB,GUD,GRA,DUS
DUS,SLA,SLB,TEB,GUD,DSA,DUS
DUS,DSA,SLA,SLB,JSF,GRA,DUS
DUS,DSA,JSF,SLB,TEB,SLA,DUS
DUS,DSA,SLA,TEB,SLB,GRA,DUS
DUS,JSF,SLA,GKR,GUD,GRA,DUS
DUS,JSF,SLB,GKR,GUD,GRA,DUS
DUS,SLA,SLB,GKR,GUD,JSF,DUS
DUS,SLA,TEB,GKR,GUD,JSF,DUS
DUS,SLB,TEB,GKR,GUD,JSF,DUS
DUS,SLA,SLB,GKR,GUD,GRA,DUS
DUS,SLA,TEB,GKR,GUD,GRA,DUS
DUS,SLB,TEB,GKR,GUD,GRA,DUS
DUS,SLA,SLB,TEB,GKR,GUD,DUS
DUS,SLA,SLB,GKR,JSF,GRA,DUS
DUS,SLA,TEB,GKR,JSF,GRA,DUS
DUS,JSF,SLB,TEB,GKR,GRA,DUS
DUS,JSF,GKR,TEB,SLB,SLA,DUS
DUS,GRA,GKR,TEB,SLB,SLA,DUS
DUS,JSF,SLA,SLB,GUD,GRA,DUS
DUS,JSF,SLA,TEB,GUD,GRA,DUS
DUS,JSF,SLB,TEB,GUD,GRA,DUS
DUS,JSF,GUD,TEB,SLB,SLA,DUS
DUS,GRA,GUD,TEB,SLB,SLA,DUS
DUS,GRA,JSF,SLB,TEB,SLA,DUS
DUS,DRA,SLA,SLB,GKR,DAB,GRA,DUS
DUS,DAB,GKR,TEB,SLB,SLA,DRA,DUS
DUS,DRA,SLA,SLB,GUD,DAB,GRA,DUS
DUS,DAB,GUD,TEB,SLB,SLA,DRA,DUS
DUS,DRA,SLA,TEB,SLB,DAB,GRA,DUS
DUS,GRA,DAB,GKR,TEB,SLB,SLA,DUS
DUS,GRA,DAB,GUD,TEB,SLB,SLA,DUS
DUS,DSA,DRA,SLA,GKR,GUD,GRA,DUS
DUS,DSA,DRA,SLB,GKR,GUD,GRA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,DSA,DUS
DUS,DRA,SLA,TEB,GKR,GUD,DSA,DUS
DUS,DRA,TEB,SLB,GKR,GUD,DSA,DUS
DUS,DSA,DRA,SLA,SLB,GKR,GRA,DUS
DUS,DSA,DRA,SLA,TEB,GKR,GRA,DUS
DUS,DSA,DRA,TEB,SLB,GKR,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,DSA,DUS
DUS,DSA,DRA,SLA,SLB,GUD,GRA,DUS
DUS,DSA,DRA,SLA,TEB,GUD,GRA,DUS
DUS,DSA,DRA,TEB,SLB,GUD,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,DSA,DUS
DUS,DRA,SLA,TEB,SLB,DSA,GRA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,GRA,DUS
DUS,DRA,SLA,TEB,GKR,GUD,GRA,DUS
DUS,DRA,TEB,SLB,GKR,GUD,GRA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,GUD,DUS
DUS,DRA,SLA,SLB,GKR,JSF,GRA,DUS
