MON,DSA,OSS,TRB,MON
MON,DSA,OSS,VFB,MON
MON,DSA,STA,STB,MON
MON,DSA,STA,STC,MON
MON,DSA,STA,TEN,MON
MON,DSA,STA,TEQTRC,MON
MON,DSA,STA,TRB,MON
MON,DSA,STA,TRO,MON
MON,DSA,STA,VFB,MON
MON,DSA,STB,STC,MON
MON,DSA,STB,TEN,MON
MON,DSA,STB,TEQTRC,MON
MON,DSA,STB,TRB,MON
MON,DSA,STB,TRO,MON
MON,DSA,STB,VFB,MON
MON,DSA,STC,TEN,MON
MON,DSA,STC,TEQTRC,MON
MON,DSA,STC,TRB,MON
MON,DSA,STC,TRO,MON
MON,DSA,STC,VFB,MON
MON,DSA,TEN,TEQTRC,MON
MON,DSA,TEN,TRB,MON
MON,DSA,TEN,VFB,MON
MON,DSA,TEQTRC,TRB,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSA,TEQTRC,VFB,MON
MON,DSA,TRB,TRO,MON
MON,DSA,TRB,VFB,MON
MON,DSS,GFAGFB,KVB,MON
MON,DSS,GFAGFB,MID,MON
MON,DSS,GFAGFB,OSC,MON
MON,DSS,GFAGFB,OSO,MON
MON,DSS,GFAGFB,OSS,MON
MON,DSS,GFAGFB,TEN,MON
MON,DSS,GFAGFB,TRB,MON
MON,DSS,GFAGFB,TRO,MON
MON,DSS,GFAGFB,VFB,MON
MON,DSS,GFC,KVB,MON
MON,DSS,GFC,MID,MON
MON,DSS,GFC,NLNVAL,MON
MON,DSS,GFC,OSC,MON
MON,DSS,GFC,OSE,MON
MON,DSS,GFC,OSO,MON
MON,DSS,GFC,OSS,MON
MON,DSS,GFC,STA,MON
MON,DSS,GFC,STB,MON
MON,DSS,GFC,STC,MON
MON,DSS,GFC,TEN,MON
MON,DSS,GFC,TEQTRC,MON
MON,DSS,GFC,TRB,MON
MON,DSS,GFC,TRO,MON
MON,DSS,GFC,VFB,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSC,MON
MON,DSS,KVB,OSE,MON
MON,DSS,KVB,OSS,MON
MON,DSS,KVB,STA,MON
MON,DSS,KVB,STB,MON
MON,DSS,KVB,STC,MON
MON,DSS,KVB,TEN,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,TRB,MON
MON,DSS,KVB,VFB,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSC,MON
MON,DSS,MID,OSE,MON
MON,DSS,MID,OSS,MON
MON,DSS,MID,STA,MON
MON,DSS,MID,STB,MON
MON,DSS,MID,STC,MON
MON,DSS,MID,TEN,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,TRB,MON
MON,DSS,MID,VFB,MON
MON,DSS,NLNVAL,OSC,MON
MON,DSS,NLNVAL,OSE,MON
MON,DSS,NLNVAL,OSO,MON
MON,DSS,NLNVAL,OSS,MON
MON,DSS,NLNVAL,STA,MON
MON,DSS,NLNVAL,STB,MON
MON,DSS,NLNVAL,STC,MON
MON,DSS,NLNVAL,TEN,MON
MON,DSS,NLNVAL,TEQTRC,MON
MON,DSS,NLNVAL,TRB,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,NLNVAL,VFB,MON
MON,DSS,OSC,OSE,MON
MON,DSS,OSC,OSO,MON
MON,DSS,OSC,OSS,MON
MON,DSS,OSC,STA,MON
MON,DSS,OSC,STB,MON
MON,DSS,OSC,STC,MON
MON,DSS,OSC,TEN,MON
MON,DSS,OSC,TEQTRC,MON
MON,DSS,OSC,TRB,MON
MON,DSS,OSC,VFB,MON
MON,DSS,OSE,OSO,MON
MON,DSS,OSE,OSS,MON
MON,DSS,OSE,TEN,MON
MON,DSS,OSE,TEQTRC,MON
MON,DSS,OSE,TRB,MON
MON,DSS,OSE,TRO,MON
MON,DSS,OSE,VFB,MON
MON,DSS,OSO,OSS,MON
MON,DSS,OSO,STA,MON
MON,DSS,OSO,STB,MON
MON,DSS,OSO,STC,MON
MON,DSS,OSO,TEN,MON
MON,DSS,OSO,TEQTRC,MON
MON,DSS,OSO,TRB,MON
MON,DSS,OSO,VFB,MON
MON,DSS,OSS,STA,MON
MON,DSS,OSS,TEN,MON
MON,DSS,OSS,TEQTRC,MON
MON,DSS,OSS,TRB,MON
MON,DSS,OSS,VFB,MON
MON,DSS,STA,STB,MON
MON,DSS,STA,STC,MON
MON,DSS,STA,TEN,MON
MON,DSS,STA,TEQTRC,MON
MON,DSS,STA,TRB,MON
MON,DSS,STA,TRO,MON
MON,DSS,STA,VFB,MON
MON,DSS,STB,STC,MON
MON,DSS,STB,TEN,MON
MON,DSS,STB,TEQTRC,MON
MON,DSS,STB,TRB,MON
MON,DSS,STB,TRO,MON
MON,DSS,STB,VFB,MON
MON,DSS,STC,TEN,MON
MON,DSS,STC,TEQTRC,MON
MON,DSS,STC,TRB,MON
MON,DSS,STC,TRO,MON
MON,DSS,STC,VFB,MON
MON,DSS,TEN,TEQTRC,MON
MON,DSS,TEN,TRB,MON
MON,DSS,TEN,VFB,MON
MON,DSS,TEQTRC,TRB,MON
MON,DSS,TEQTRC,TRO,MON
MON,DSS,TEQTRC,VFB,MON
MON,DSS,TRB,TRO,MON
MON,DSS,TRB,VFB,MON
MON,GFAGFB,GFC,KVB,MON
MON,GFAGFB,GFC,MID,MON
MON,GFAGFB,GFC,OSC,MON
MON,GFAGFB,GFC,OSO,MON
MON,GFAGFB,GFC,OSS,MON
MON,GFAGFB,GFC,STA,MON
MON,GFAGFB,GFC,TEN,MON
MON,GFAGFB,GFC,TRB,MON
MON,GFAGFB,GFC,TRO,MON
MON,GFAGFB,GFC,VFB,MON
MON,GFAGFB,KVB,MID,MON
MON,GFAGFB,KVB,NLNVAL,MON
MON,GFAGFB,KVB,OSC,MON
MON,GFAGFB,KVB,OSE,MON
MON,GFAGFB,KVB,OSO,MON
MON,GFAGFB,KVB,OSS,MON
MON,GFAGFB,KVB,STA,MON
MON,GFAGFB,KVB,STB,MON
MON,GFAGFB,KVB,STC,MON
MON,GFAGFB,KVB,TEN,MON
MON,GFAGFB,KVB,TEQTRC,MON
MON,GFAGFB,KVB,TRB,MON
MON,GFAGFB,KVB,TRO,MON
MON,GFAGFB,KVB,VFB,MON
MON,GFAGFB,MID,NLNVAL,MON
MON,GFAGFB,MID,OSC,MON
MON,GFAGFB,MID,OSE,MON
MON,GFAGFB,MID,OSO,MON
MON,GFAGFB,MID,OSS,MON
MON,GFAGFB,MID,STA,MON
MON,GFAGFB,MID,STB,MON
MON,GFAGFB,MID,STC,MON
MON,GFAGFB,MID,TEN,MON
MON,GFAGFB,MID,TEQTRC,MON
MON,GFAGFB,MID,TRB,MON
MON,GFAGFB,MID,TRO,MON
MON,GFAGFB,MID,VFB,MON
MON,GFAGFB,NLNVAL,OSC,MON
MON,GFAGFB,NLNVAL,OSO,MON
MON,GFAGFB,NLNVAL,OSS,MON
MON,GFAGFB,NLNVAL,TEN,MON
MON,GFAGFB,NLNVAL,TRB,MON
MON,GFAGFB,NLNVAL,TRO,MON
MON,GFAGFB,NLNVAL,VFB,MON
MON,GFAGFB,OSC,OSO,MON
MON,GFAGFB,OSC,OSS,MON
MON,GFAGFB,OSC,STA,MON
MON,GFAGFB,OSC,STB,MON
