MON,DSA,OSE,TENTRB,MON
MON,DSA,OSE,TEQTRC,MON
MON,DSA,OSE,TRO,MON
MON,DSA,OSE,VFB,MON
MON,DSA,OSO,OSS,MON
MON,DSA,OSO,STASTB,MON
MON,DSA,OSO,STC,MON
MON,DSA,OSO,TENTRB,MON
MON,DSA,OSO,TEQTRC,MON
MON,DSA,OSO,VFB,MON
MON,DSA,OSS,STC,MON
MON,DSA,OSS,TENTRB,MON
MON,DSA,OSS,TEQTRC,MON
MON,DSA,OSS,VFB,MON
MON,DSA,STASTB,TENTRB,MON
MON,DSA,STASTB,TRO,MON
MON,DSA,STASTB,VFB,MON
MON,DSA,STC,TENTRB,MON
MON,DSA,STC,TEQTRC,MON
MON,DSA,STC,TRO,MON
MON,DSA,STC,VFB,MON
MON,DSA,TENTRB,TEQTRC,MON
MON,DSA,TENTRB,TRO,MON
MON,DSA,TENTRB,VFB,MON
MON,DSA,TEQTRC,TRO,MON
MON,DSA,TEQTRC,VFB,MON
MON,DSS,GFAGFB,KVB,MON
MON,DSS,GFAGFB,MID,MON
MON,DSS,GFAGFB,OSC,MON
MON,DSS,GFAGFB,OSO,MON
MON,DSS,GFAGFB,OSS,MON
MON,DSS,GFAGFB,TRO,MON
MON,DSS,GFAGFB,VFB,MON
MON,DSS,GFC,KVB,MON
MON,DSS,GFC,MID,MON
MON,DSS,GFC,NLNVAL,MON
MON,DSS,GFC,OSC,MON
MON,DSS,GFC,OSE,MON
MON,DSS,GFC,OSO,MON
MON,DSS,GFC,OSS,MON
MON,DSS,GFC,STC,MON
MON,DSS,GFC,TENTRB,MON
MON,DSS,GFC,TEQTRC,MON
MON,DSS,GFC,TRO,MON
MON,DSS,GFC,VFB,MON
MON,DSS,KVB,NLNVAL,MON
MON,DSS,KVB,OSC,MON
MON,DSS,KVB,OSE,MON
MON,DSS,KVB,OSS,MON
MON,DSS,KVB,STASTB,MON
MON,DSS,KVB,STC,MON
MON,DSS,KVB,TENTRB,MON
MON,DSS,KVB,TEQTRC,MON
MON,DSS,KVB,VFB,MON
MON,DSS,MID,NLNVAL,MON
MON,DSS,MID,OSC,MON
MON,DSS,MID,OSE,MON
MON,DSS,MID,OSS,MON
MON,DSS,MID,STC,MON
MON,DSS,MID,TENTRB,MON
MON,DSS,MID,TEQTRC,MON
MON,DSS,MID,VFB,MON
MON,DSS,NLNVAL,OSC,MON
MON,DSS,NLNVAL,OSE,MON
MON,DSS,NLNVAL,OSO,MON
MON,DSS,NLNVAL,OSS,MON
MON,DSS,NLNVAL,STC,MON
MON,DSS,NLNVAL,TENTRB,MON
MON,DSS,NLNVAL,TEQTRC,MON
MON,DSS,NLNVAL,TRO,MON
MON,DSS,NLNVAL,VFB,MON
MON,DSS,OSC,OSE,MON
MON,DSS,OSC,OSO,MON
MON,DSS,OSC,OSS,MON
MON,DSS,OSC,STC,MON
MON,DSS,OSC,TENTRB,MON
MON,DSS,OSC,TEQTRC,MON
MON,DSS,OSC,VFB,MON
MON,DSS,OSE,OSO,MON
MON,DSS,OSE,OSS,MON
MON,DSS,OSE,TENTRB,MON
MON,DSS,OSE,TEQTRC,MON
MON,DSS,OSE,TRO,MON
MON,DSS,OSE,VFB,MON
MON,DSS,OSO,OSS,MON
MON,DSS,OSO,STASTB,MON
MON,DSS,OSO,STC,MON
MON,DSS,OSO,TENTRB,MON
MON,DSS,OSO,TEQTRC,MON
MON,DSS,OSO,VFB,MON
MON,DSS,OSS,TENTRB,MON
MON,DSS,OSS,TEQTRC,MON
MON,DSS,OSS,VFB,MON
MON,DSS,STASTB,TENTRB,MON
MON,DSS,STASTB,TRO,MON
MON,DSS,STASTB,VFB,MON
MON,DSS,STC,TENTRB,MON
MON,DSS,STC,TEQTRC,MON
MON,DSS,STC,TRO,MON
MON,DSS,STC,VFB,MON
MON,DSS,TENTRB,TEQTRC,MON
MON,DSS,TENTRB,TRO,MON
MON,DSS,TENTRB,VFB,MON
MON,DSS,TEQTRC,TRO,MON
MON,DSS,TEQTRC,VFB,MON
MON,GFAGFB,GFC,KVB,MON
MON,GFAGFB,GFC,MID,MON
MON,GFAGFB,GFC,OSC,MON
MON,GFAGFB,GFC,OSO,MON
MON,GFAGFB,GFC,OSS,MON
MON,GFAGFB,GFC,TENTRB,MON
MON,GFAGFB,GFC,TRO,MON
MON,GFAGFB,GFC,VFB,MON
MON,GFAGFB,KVB,MID,MON
MON,GFAGFB,KVB,NLNVAL,MON
MON,GFAGFB,KVB,OSC,MON
MON,GFAGFB,KVB,OSE,MON
MON,GFAGFB,KVB,OSO,MON
MON,GFAGFB,KVB,OSS,MON
MON,GFAGFB,KVB,STC,MON
MON,GFAGFB,KVB,TENTRB,MON
MON,GFAGFB,KVB,TEQTRC,MON
